d, u, t, b
"04.05.2010, 00:23",evilshell,The rules - read these before you post or your thread could be deleted,"Before you post anything in this section, be sure you have read this sticky and followed the rules. If you don't, your thread could be deleted by the mods. Just because you're a forum veteran doesn't mean you don't need to read this sticky and follow the rules. 
In order to start a new thread in the Marketplace, you need to first meet the following criteria: Have 10 posts or more Been a member for 7 days or longer Title
Make your title descriptive, short and to the point. It should conform to the following format: 
[Free] Leather sofa [Basel]
[Free] Woman's bicycle [Geneva]
[Free] Household items, moving sale [Zurich]
Thread titles must include free, the name of the item and the location. Description
What are you giving away? Tell us as much about it as you can. 
For example:   Quote:    Free washing machine in Zurich
Brand: Miele
Height: 80cm
Width: 65cm
Depth: 40cm
Color: White
Small scratches on the side of the machine
1 year old
Capacity: 4.5 kg
Pick up in Dietikon
PM me for details      Picture
A picture is worth a thousand words, or so the cliche goes. But with most household goods, it will help you get rid of your item. 
Try and take a photo that shows the item as clearly as possible, not a small dot across the room. Upload the photo to the English Forum and then embed it into your post, or post it to an external website and use the photo insert tool to include it in your post. Thread BumpingThreads should not be bumped just to gain new exposure. This is considered a breach of netiquette and should be avoided. For more info, please consult Bump_(Internet)
If you want to bring your thread to the top of the pile, post a response to the thread with some new or updated info. It is also acceptable to state that the item is still available if the thread has been there for a few days with no activity. Repeat Postings of the Same Item
Absolutely forbidden. If the mod seeing it is in a nice mood, they might just merge your existing posts, but chances are you'll find your duplicates deleted. General Netiquette
This should be observed at all times. NetiquettePhone Numbers and Email Addresses
Forum rules prohibit the posting of personal contact information including email addresses and telephone numbers. Please use the PM feature instead. Threads with of personal contact information including phone numbers or email addresses will be edited by the mods. What to do when your item is gone
Please report the original post in your thread and ask that it be closed due to the item being taken. Use the Report Post feature, which is the triangle with ! in the middle on the top right hand corner of your post. Language
It should go without saying, we're the English forum, so your post should be in English. (That goes for all sections of EF, not just the Market Place!)Txtspk
Use txtspk and risk having your post or thread deleted without mercy. Remember, English isn't everyone's first language - and even for those who do have English as a first language, txtspk is difficult to read quickly. It doesn't make you look clever or even save you time, so please, use proper English.Trolling
Trolling and taunting the seller is not permitted. Your posts will be deleted, and you could face a ban. By all means, ask legitimate questions, but trolling will not be permitted. 
Not sure what trolling is? wiki/Troll_(Internet)Important Info
Not following these rules will probably find a mod deleting your post. You don't want that, so follow the rules and happy selling and buying. 
Following the rules is simple and easy. Repeatedly violating them is not. Repeated disregard or violation of the rules is cause for an instant ban from the forum. A couple of tips for safe trading
Don't give your full street address until date/time/transport have been arranged to your mutual satisfaction. Street name and nearest tram/bus stop is good enough for initial planning. Sellers often offer to meet at the station - they needn't give away their home address.
Don't outline your whole schedule. If a prospective buyer wants to know when he can come by, state your general preference (e.g. daytime or evening) and make one or two initial suggestions. If he can't meet either of those, ask him for a list of four times that would work for him. You pick one of them and that's it.
If a particular date/time doesn't work for you, it is ""inconvenient"" and nothing more. Don't give reasons.Disclaimer
englishforum.ch is not responsible for goods sold on the forum. We do not benefit from the sales in any way. Any englishforum.ch endorsed sales will be otherwise specified.
Sales are conducted as agreements between private parties, and any disputes, claims, etc. should be addressed to the seller or buyer, not to englishforum.ch. 
By posting/reading/responding to ads in this section, you agree to this disclaimer."
"Today, 16:38",Natalia0303,Free Furniture!,"Ikea pull out sofa bed, barely used and in good condition. 
Pine circular table with middle extension for 4 to 6 people. 
Small green vase. 
Collection only from Wollishofen."
"Today, 11:33",javed201,Moving boxes and banana boxes to give away.,"Hello to guys on the move,
I have just moved to Zurich and I know how handy they can be. I have some of these boxes to giveaway. Lets arrange time for you to collect them. Oh I have some of those banana boxes which I find more useful than normal ones. They don't require binding and unbinding and easy to carry. Let me know if you can pick them from Affoltern Zurich."
"Today, 11:41",gaijin,Leather Sofa,Two seats leather sofa with expendable feet rest for free. Pick up in Oerlikon area.
"02.03.2013, 20:12",Breezy,Looking for removal boxes,"Hi all,
Does anyone have any boxes they are looking to get rid of? Have car, can collect if not too far. Based in Pfaffikon SZ.
Cheers,
Breezy"
"01.03.2013, 18:47",gsach,Maattress to give away.,"Hi,
I have a mattress to give away as we are moving out of the country. 
The mattress is in excellent condition. It measure 150 cm  (w) and 180 cm (l). 
It needs to go away on the WE. Pick up is in Küsnacht. 
Cheers 
GS"
"27.02.2013, 09:59",Cybersuz,FREE! Corner Sofa set in Dottikon,"Hi all,
We have a brown Gomma-Gomma suede corner sofa set to give away.  It is SUPER comfortable.
To be collected from Dottikon."
"26.02.2013, 19:42",AtoZ,Moving out : Give away Items,"Hello,
I have following items to give away in 8046 Zurich. 
The sofa is available as on 01 Mar. Rest are immediately available.Items
Thanks,
AtoZ"
"02.03.2013, 21:26",anettemichael,[For Free] 2 Lack tables [Zug],"Giving away 2 Ikea Lack tables in Black/brown for pick up in Zug.
Link to Ikea picture:http://www.ikea.com/ch/de/catalog/pr...734/#/80104268"
"Yesterday, 00:13",chetna,For Sale: corner to corner black sofa/bed (leather look),"For Sale: our very nice corner to corner black sofa/bed (leather look) with movable seats and back.
New price: CHF 3000
Offer price: CHF 0
there are minor cracks on the sofa skin as you can see in the picture. otherwise sofa is in perfect condition. includes sofa bed function, movable seats, movable backs etc. see pictures athttp://www.flickr.com/photos/9991282@N02/
Feel free to check it out. must go by March 10, 2013
visitation/pick up in zurich any time by appointment. Pls call +41 76 3842 799"
